Subject,type
https://w3id.org/italia/env/ld/ihi/intervention/20ir015/g1,Intervention
https://w3id.org/italia/env/ld/ihi/intervention/427/06,Intervention
https://w3id.org/italia/env/ld/ihi/intervention/dpc@19_4141/xm,Intervention
https://w3id.org/italia/env/ld/ihi/intervention/205/08,Intervention
https://w3id.org/italia/env/ld/ihi/intervention/240/09,Intervention
https://w3id.org/italia/env/ld/ihi/intervention/me104b/10,Intervention
https://w3id.org/italia/env/ld/ihi/intervention/dait@21_3149/xm,Intervention
https://w3id.org/italia/env/ld/ihi/intervention/dpc@19_3944/xm,Intervention
https://w3id.org/italia/env/ld/ihi/intervention/en044a/10,Intervention
https://w3id.org/italia/env/ld/ihi/intervention/dpc@19_0094/xm,Intervention
https://w3id.org/italia/env/ld/ihi/intervention/dpc@19_0479/xm,Intervention
https://w3id.org/italia/env/ld/ihi/intervention/228/99,Intervention
https://w3id.org/italia/env/ld/ihi/intervention/dpc@19_1838/xm,Intervention
https://w3id.org/italia/env/ld/ihi/intervention/dait@21_3714/xm,Intervention
https://w3id.org/italia/env/ld/ihi/intervention/dait@21_2398/xm,Intervention
https://w3id.org/italia/env/ld/ihi/intervention/dait@21_3269/xm,Intervention
https://w3id.org/italia/env/ld/ihi/intervention/194/06,Intervention
https://w3id.org/italia/env/ld/ihi/intervention/298/99,Intervention
https://w3id.org/italia/env/ld/ihi/intervention/dait@21_4359/xm,Intervention
https://w3id.org/italia/env/ld/ihi/intervention/maaf@22_0113/xm,Intervention
https://w3id.org/italia/env/ld/ihi/intervention/101/98,Intervention
https://w3id.org/italia/env/ld/ihi/intervention/dpc@19_2576/xm,Intervention
https://w3id.org/italia/env/ld/ihi/intervention/dait@19_0370/xm,Intervention
https://w3id.org/italia/env/ld/ihi/intervention/dpc@19_2255/xm,Intervention
https://w3id.org/italia/env/ld/ihi/intervention/09ir213/g1,Intervention
https://w3id.org/italia/env/ld/ihi/intervention/dait@21_6785/xm,Intervention
https://w3id.org/italia/env/ld/ihi/intervention/dait@21_7398/xm,Intervention
https://w3id.org/italia/env/ld/ihi/intervention/dait@22_0016/xm,Intervention
