Subject,officialInstabilityType,contractingAuthority
https://w3id.org/italia/env/ld/ihi/intervention/dait@23_1595/xm,,https://w3id.org/italia/env/ld/ihi/authkind/autbac/dait@23_1595/xm
https://w3id.org/italia/env/ld/ihi/lot/dait@19_0345/xm1,,https://w3id.org/italia/env/ld/ihi/authkind/attuat/dait@19_0345/xm1
https://w3id.org/italia/env/ld/ihi/intervention/179/06,,https://w3id.org/italia/env/ld/ihi/authkind/prop/179/06
https://w3id.org/italia/env/ld/ihi/intervention/dait@21_1323/xm,,https://w3id.org/italia/env/ld/ihi/authkind/autbac/dait@21_1323/xm
https://w3id.org/italia/env/ld/ihi/intervention/dait@21_0401/xm,,https://w3id.org/italia/env/ld/ihi/authkind/autbac/dait@21_0401/xm
https://w3id.org/italia/env/ld/ihi/lot/dpc@19_1451/xm1,,https://w3id.org/italia/env/ld/ihi/authkind/attuat/dpc@19_1451/xm1
https://w3id.org/italia/env/ld/ihi/intervention/502/06,,https://w3id.org/italia/env/ld/ihi/authkind/autbac/502/06
https://w3id.org/italia/env/ld/ihi/intervention/20ir178/g1,,https://w3id.org/italia/env/ld/ihi/authkind/autbac/20ir178/g1
https://w3id.org/italia/env/ld/ihi/intervention/dpc@19_1987/xm,,https://w3id.org/italia/env/ld/ihi/authkind/prop/dpc@19_1987/xm
https://w3id.org/italia/env/ld/ihi/intervention/dait@19_0064/xm,,https://w3id.org/italia/env/ld/ihi/authkind/autbac/dait@19_0064/xm
https://w3id.org/italia/env/ld/ihi/lot/dait@21_1822/xm1,,https://w3id.org/italia/env/ld/ihi/authkind/attuat/dait@21_1822/xm1
https://w3id.org/italia/env/ld/ihi/intervention/dait@22_0635/xm,,https://w3id.org/italia/env/ld/ihi/authkind/prop/dait@22_0635/xm
https://w3id.org/italia/env/ld/ihi/intervention/063/09,,https://w3id.org/italia/env/ld/ihi/authkind/prop/063/09
https://w3id.org/italia/env/ld/ihi/intervention/al013a/10,,https://w3id.org/italia/env/ld/ihi/authkind/autbac/al013a/10
https://w3id.org/italia/env/ld/ihi/intervention/21ir004/mt,,https://w3id.org/italia/env/ld/ihi/authkind/autbac/21ir004/mt
https://w3id.org/italia/env/ld/ihi/lot/dpc@21_6212/xm1,,https://w3id.org/italia/env/ld/ihi/authkind/attuat/dpc@21_6212/xm1
https://w3id.org/italia/env/ld/ihi/intervention/298/02,,https://w3id.org/italia/env/ld/ihi/authkind/prop/298/02
https://w3id.org/italia/env/ld/ihi/intervention/dpc@19_4266/xm,,https://w3id.org/italia/env/ld/ihi/authkind/prop/dpc@19_4266/xm
https://w3id.org/italia/env/ld/ihi/lot/dait@21_4043/xm1,,https://w3id.org/italia/env/ld/ihi/authkind/attuat/dait@21_4043/xm1
