Subject,lot
https://w3id.org/italia/env/ld/ihi/lotstep/lc064b/101-172,https://w3id.org/italia/env/ld/ihi/lot/lc064b/101
https://w3id.org/italia/env/ld/ihi/lotstep/248/071-180,https://w3id.org/italia/env/ld/ihi/lot/248/071
https://w3id.org/italia/env/ld/ihi/lotstep/604/991-180,https://w3id.org/italia/env/ld/ihi/lot/604/991
https://w3id.org/italia/env/ld/ihi/lotstep/dait@21_4173/xm1-172,https://w3id.org/italia/env/ld/ihi/lot/dait@21_4173/xm1
https://w3id.org/italia/env/ld/ihi/lotstep/11ir315/g11-210,https://w3id.org/italia/env/ld/ihi/lot/11ir315/g11
https://w3id.org/italia/env/ld/ihi/lotstep/dait@19_0044/xm1-227,https://w3id.org/italia/env/ld/ihi/lot/dait@19_0044/xm1
https://w3id.org/italia/env/ld/ihi/lotstep/17ir018/g11-992,https://w3id.org/italia/env/ld/ihi/lot/17ir018/g11
https://w3id.org/italia/env/ld/ihi/lotstep/03ir162/g11-125,https://w3id.org/italia/env/ld/ihi/lot/03ir162/g11
https://w3id.org/italia/env/ld/ihi/lotstep/dpc@19_0065/xm1-228,https://w3id.org/italia/env/ld/ihi/lot/dpc@19_0065/xm1
https://w3id.org/italia/env/ld/ihi/lotstep/12ir005/g91-215,https://w3id.org/italia/env/ld/ihi/lot/12ir005/g91
https://w3id.org/italia/env/ld/ihi/lotstep/dpc@19_1992/xm1-217,https://w3id.org/italia/env/ld/ihi/lot/dpc@19_1992/xm1
https://w3id.org/italia/env/ld/ihi/lotstep/528/092-220,https://w3id.org/italia/env/ld/ihi/lot/528/092
https://w3id.org/italia/env/ld/ihi/lotstep/fg055a/101-220,https://w3id.org/italia/env/ld/ihi/lot/fg055a/101
https://w3id.org/italia/env/ld/ihi/lotstep/14ir034/g11-132,https://w3id.org/italia/env/ld/ihi/lot/14ir034/g11
https://w3id.org/italia/env/ld/ihi/lotstep/148/021-120,https://w3id.org/italia/env/ld/ihi/lot/148/021
https://w3id.org/italia/env/ld/ihi/lotstep/bl055a/101-190,https://w3id.org/italia/env/ld/ihi/lot/bl055a/101
https://w3id.org/italia/env/ld/ihi/lotstep/060/091-210,https://w3id.org/italia/env/ld/ihi/lot/060/091
https://w3id.org/italia/env/ld/ihi/lotstep/759/991-210,https://w3id.org/italia/env/ld/ihi/lot/759/991
https://w3id.org/italia/env/ld/ihi/lotstep/472/021-150,https://w3id.org/italia/env/ld/ihi/lot/472/021
https://w3id.org/italia/env/ld/ihi/lotstep/dait@21_4940/xm1-132,https://w3id.org/italia/env/ld/ihi/lot/dait@21_4940/xm1
https://w3id.org/italia/env/ld/ihi/lotstep/dpc@19_1560/xm1-152,https://w3id.org/italia/env/ld/ihi/lot/dpc@19_1560/xm1
https://w3id.org/italia/env/ld/ihi/lotstep/go028c/101-70,https://w3id.org/italia/env/ld/ihi/lot/go028c/101
