Subject,hasEconomicIndicator
https://w3id.org/italia/env/ld/ihi/lot/11ir315/g11,https://w3id.org/italia/env/ld/ihi/economicindicator/11ir315/g11_21
https://w3id.org/italia/env/ld/ihi/lot/bs022a/101,https://w3id.org/italia/env/ld/ihi/economicindicator/bs022a/101_13
https://w3id.org/italia/env/ld/ihi/lot/094/061,https://w3id.org/italia/env/ld/ihi/economicindicator/094/061_3
