Subject,value
https://w3id.org/italia/env/ld/ihi/economicindicator/dpc@19_4413/xm1_3,"""0,00"""
https://w3id.org/italia/env/ld/ihi/economicindicator/dait@21_5994/xm1_1,"""129000,00"""
https://w3id.org/italia/env/ld/ihi/economicindicator/327/083_14,"""552,97"""
https://w3id.org/italia/env/ld/ihi/economicindicator/fc063b/101_3,"""500000,00"""
https://w3id.org/italia/env/ld/ihi/economicindicator/014/082_16,"""11,31"""
https://w3id.org/italia/env/ld/ihi/economicindicator/dait@23_1891/xm1_3,"""0,00"""
https://w3id.org/italia/env/ld/ihi/economicindicator/dait@21_5499/xm1_1,"""147000,00"""
https://w3id.org/italia/env/ld/ihi/economicindicator/19ir899/g11_21,"""28326,92"""
https://w3id.org/italia/env/ld/ihi/economicindicator/201/081_4,"""300000,00"""
https://w3id.org/italia/env/ld/ihi/economicindicator/133/063_1,"""840000,00"""
https://w3id.org/italia/env/ld/ihi/economicindicator/dpc@22_6571/xm1_3,"""0,00"""
https://w3id.org/italia/env/ld/ihi/economicindicator/dait@21_2878/xm1_3,"""0,00"""
https://w3id.org/italia/env/ld/ihi/economicindicator/dait@21_2461/xm1_3,"""0,00"""
https://w3id.org/italia/env/ld/ihi/economicindicator/pg007a/1055_22,"""4196,44"""
https://w3id.org/italia/env/ld/ihi/economicindicator/20ir082/g11_16,"""26,67"""
https://w3id.org/italia/env/ld/ihi/economicindicator/380/991_1,"""516456,89"""
https://w3id.org/italia/env/ld/ihi/economicindicator/dait@23_1124/xm1_1,"""850000,00"""
https://w3id.org/italia/env/ld/ihi/economicindicator/258/021_10,"""9007,01"""
https://w3id.org/italia/env/ld/ihi/economicindicator/dait@21_3531/xm1_3,"""0,00"""
https://w3id.org/italia/env/ld/ihi/economicindicator/cb003a/101_5,"""152717,46"""
https://w3id.org/italia/env/ld/ihi/economicindicator/dpc@22_6333/xm1_1,"""250000,00"""
https://w3id.org/italia/env/ld/ihi/economicindicator/dpc@19_4014/xm1_1,"""45000,00"""
https://w3id.org/italia/env/ld/ihi/economicindicator/an008a/101_22,"""0,00"""
https://w3id.org/italia/env/ld/ihi/economicindicator/so172c/102_5,"""679137,44"""
https://w3id.org/italia/env/ld/ihi/economicindicator/dait@19_0857/xm1_3,"""0,00"""
https://w3id.org/italia/env/ld/ihi/economicindicator/515/991_13,"""14014,00"""
https://w3id.org/italia/env/ld/ihi/economicindicator/05ir019/g91_21,"""30680,00"""
https://w3id.org/italia/env/ld/ihi/economicindicator/249/081_17,"""398893,13"""
https://w3id.org/italia/env/ld/ihi/economicindicator/dait@21_5797/xm1_1,"""296685,80"""
https://w3id.org/italia/env/ld/ihi/economicindicator/dait@21_5578/xm1_3,"""0,00"""
