Subject,entity
https://w3id.org/italia/env/ld/ihi/authkind/attuat/dait@21_0508/xm1,https://w3id.org/italia/env/ld/ihi/businessentity/078152
https://w3id.org/italia/env/ld/ihi/authkind/attuat/dpc@19_3469/xm1,https://w3id.org/italia/env/ld/ihi/businessentity/017063
https://w3id.org/italia/env/ld/ihi/authkind/prop/dpc@22_6650/xm,https://w3id.org/italia/env/ld/ihi/businessentity/004081
https://w3id.org/italia/env/ld/ihi/authkind/autbac/17ir001/ci,https://w3id.org/italia/env/ld/ihi/businessentity/ab56
https://w3id.org/italia/env/ld/ihi/authkind/autbac/dpc@19_1001/xm,https://w3id.org/italia/env/ld/ihi/businessentity/ab22
https://w3id.org/italia/env/ld/ihi/authkind/autbac/dpc@19_0311/xm,https://w3id.org/italia/env/ld/ihi/businessentity/ab50
https://w3id.org/italia/env/ld/ihi/authkind/autbac/dpc@22_5325/xm,https://w3id.org/italia/env/ld/ihi/businessentity/ab56
https://w3id.org/italia/env/ld/ihi/authkind/attuat/119/994,https://w3id.org/italia/env/ld/ihi/businessentity/05
https://w3id.org/italia/env/ld/ihi/authkind/autbac/dpc@22_5503/xm,https://w3id.org/italia/env/ld/ihi/businessentity/ab70
https://w3id.org/italia/env/ld/ihi/authkind/attuat/dait@21_7163/xm1,https://w3id.org/italia/env/ld/ihi/businessentity/103015
https://w3id.org/italia/env/ld/ihi/authkind/attuat/136/022,https://w3id.org/italia/env/ld/ihi/businessentity/042
https://w3id.org/italia/env/ld/ihi/authkind/autbac/dait@23_1601/xm,https://w3id.org/italia/env/ld/ihi/businessentity/ab21
https://w3id.org/italia/env/ld/ihi/authkind/attuat/813/991,https://w3id.org/italia/env/ld/ihi/businessentity/013207
https://w3id.org/italia/env/ld/ihi/authkind/attuat/dait@21_7235/xm1,https://w3id.org/italia/env/ld/ihi/businessentity/008045
https://w3id.org/italia/env/ld/ihi/authkind/esec/05ir024/g91,https://w3id.org/italia/env/ld/ihi/businessentity/05
https://w3id.org/italia/env/ld/ihi/authkind/prop/dpc@19_1764/xm,https://w3id.org/italia/env/ld/ihi/businessentity/036032
https://w3id.org/italia/env/ld/ihi/authkind/prop/dpc@19_3415/xm,https://w3id.org/italia/env/ld/ihi/businessentity/016210
https://w3id.org/italia/env/ld/ihi/authkind/attuat/dpc@19_4526/xm1,https://w3id.org/italia/env/ld/ihi/businessentity/025071
https://w3id.org/italia/env/ld/ihi/authkind/attuat/176/023,https://w3id.org/italia/env/ld/ihi/businessentity/05
https://w3id.org/italia/env/ld/ihi/authkind/attuat/dait@21_0715/xm1,https://w3id.org/italia/env/ld/ihi/businessentity/064029
https://w3id.org/italia/env/ld/ihi/authkind/attuat/dpc@19_2321/xm1,https://w3id.org/italia/env/ld/ihi/businessentity/030112
https://w3id.org/italia/env/ld/ihi/authkind/attuat/131/089,https://w3id.org/italia/env/ld/ihi/businessentity/a001
https://w3id.org/italia/env/ld/ihi/authkind/prop/dait@23_1713/xm,https://w3id.org/italia/env/ld/ihi/businessentity/017116
https://w3id.org/italia/env/ld/ihi/authkind/prop/dait@21_3210/xm,https://w3id.org/italia/env/ld/ihi/businessentity/001081
https://w3id.org/italia/env/ld/ihi/authkind/autbac/dpc@19_1839/xm,https://w3id.org/italia/env/ld/ihi/businessentity/ab21
https://w3id.org/italia/env/ld/ihi/authkind/attuat/dait@21_1079/xm1,https://w3id.org/italia/env/ld/ihi/businessentity/035001
https://w3id.org/italia/env/ld/ihi/authkind/prop/dait@23_0936/xm,https://w3id.org/italia/env/ld/ihi/businessentity/016147
https://w3id.org/italia/env/ld/ihi/authkind/prop/224/99,https://w3id.org/italia/env/ld/ihi/businessentity/08
https://w3id.org/italia/env/ld/ihi/authkind/attuat/dait@21_5885/xm1,https://w3id.org/italia/env/ld/ihi/businessentity/062035
https://w3id.org/italia/env/ld/ihi/authkind/autbac/dpc@19_4260/xm,https://w3id.org/italia/env/ld/ihi/businessentity/ab42
https://w3id.org/italia/env/ld/ihi/authkind/attuat/ao004a/101,https://w3id.org/italia/env/ld/ihi/businessentity/cs02
https://w3id.org/italia/env/ld/ihi/authkind/attuat/dait@23_1300/xm1,https://w3id.org/italia/env/ld/ihi/businessentity/006094
https://w3id.org/italia/env/ld/ihi/authkind/autbac/dait@22_0392/xm,https://w3id.org/italia/env/ld/ihi/businessentity/ab83
https://w3id.org/italia/env/ld/ihi/authkind/attuat/dait@19_0463/xm1,https://w3id.org/italia/env/ld/ihi/businessentity/006126
https://w3id.org/italia/env/ld/ihi/authkind/autbac/038/08,https://w3id.org/italia/env/ld/ihi/businessentity/ab999
https://w3id.org/italia/env/ld/ihi/authkind/autbac/dpc@19_2572/xm,https://w3id.org/italia/env/ld/ihi/businessentity/ab991
https://w3id.org/italia/env/ld/ihi/authkind/prop/dait@21_5377/xm,https://w3id.org/italia/env/ld/ihi/businessentity/109028
https://w3id.org/italia/env/ld/ihi/authkind/attuat/dpc@22_6272/xm1,https://w3id.org/italia/env/ld/ihi/businessentity/016082
https://w3id.org/italia/env/ld/ihi/authkind/prop/dait@21_7178/xm,https://w3id.org/italia/env/ld/ihi/businessentity/064071
