Subject,type
https://w3id.org/italia/env/ld/ihi/lotstep/dait@21_3893/xm1-226,LotStep
https://w3id.org/italia/env/ld/ihi/lotstep/dpc@19_0007/xm1-229,LotStep
https://w3id.org/italia/env/ld/ihi/lotstep/dait@21_4049/xm1-184,LotStep
https://w3id.org/italia/env/ld/ihi/lotstep/al032a/101-220,LotStep
https://w3id.org/italia/env/ld/ihi/lotstep/dpc@19_1263/xm1-152,LotStep
https://w3id.org/italia/env/ld/ihi/lotstep/dpc@19_3424/xm1-229,LotStep
https://w3id.org/italia/env/ld/ihi/lotstep/dpc@19_3330/xm1-217,LotStep
https://w3id.org/italia/env/ld/ihi/lotstep/dpc@19_1370/xm1-215,LotStep
https://w3id.org/italia/env/ld/ihi/lotstep/065/991-120,LotStep
https://w3id.org/italia/env/ld/ihi/lotstep/dait@21_4459/xm1-172,LotStep
https://w3id.org/italia/env/ld/ihi/lotstep/020/081-180,LotStep
https://w3id.org/italia/env/ld/ihi/lotstep/132/061-150,LotStep
https://w3id.org/italia/env/ld/ihi/lotstep/dait@21_1044/xm1-215,LotStep
https://w3id.org/italia/env/ld/ihi/lotstep/110/091-180,LotStep
https://w3id.org/italia/env/ld/ihi/lotstep/dait@21_6355/xm1-215,LotStep
https://w3id.org/italia/env/ld/ihi/lotstep/dpc@19_3243/xm1-152,LotStep
https://w3id.org/italia/env/ld/ihi/lotstep/334/091-190,LotStep
https://w3id.org/italia/env/ld/ihi/lotstep/289/066-120,LotStep
https://w3id.org/italia/env/ld/ihi/lotstep/11ir296/g11-190,LotStep
https://w3id.org/italia/env/ld/ihi/lotstep/dait@21_2200/xm1-184,LotStep
https://w3id.org/italia/env/ld/ihi/lotstep/dait@21_3130/xm1-132,LotStep
https://w3id.org/italia/env/ld/ihi/lotstep/dait@21_4174/xm1-152,LotStep
https://w3id.org/italia/env/ld/ihi/lotstep/an008a/101-170,LotStep
https://w3id.org/italia/env/ld/ihi/lotstep/029/071-180,LotStep
https://w3id.org/italia/env/ld/ihi/lotstep/dait@21_5977/xm1-184,LotStep
https://w3id.org/italia/env/ld/ihi/lotstep/374/081-180,LotStep
https://w3id.org/italia/env/ld/ihi/lotstep/08ir224/g11-150,LotStep
https://w3id.org/italia/env/ld/ihi/lotstep/03ir523/g11-142,LotStep
https://w3id.org/italia/env/ld/ihi/lotstep/11ir091/g11-150,LotStep
https://w3id.org/italia/env/ld/ihi/lotstep/dait@22_0286/xm1-152,LotStep
https://w3id.org/italia/env/ld/ihi/lotstep/119/996-150,LotStep
https://w3id.org/italia/env/ld/ihi/lotstep/056/091-210,LotStep
https://w3id.org/italia/env/ld/ihi/lotstep/485/091-150,LotStep
https://w3id.org/italia/env/ld/ihi/lotstep/121/071-210,LotStep
https://w3id.org/italia/env/ld/ihi/lotstep/163/061-220,LotStep
https://w3id.org/italia/env/ld/ihi/lotstep/08ir032/g11-175,LotStep
https://w3id.org/italia/env/ld/ihi/lotstep/320/061-110,LotStep
https://w3id.org/italia/env/ld/ihi/lotstep/368/098-225,LotStep
https://w3id.org/italia/env/ld/ihi/lotstep/dait@21_4598/xm1-172,LotStep
https://w3id.org/italia/env/ld/ihi/lotstep/dpc@19_0655/xm1-217,LotStep
