Subject,lat,point,long
https://w3id.org/italia/env/ld/ihi/lot/dait@21_3621/xm1,45.4104354302751,10.3822324528391 45.4104354302751,10.3822324528391
https://w3id.org/italia/env/ld/ihi/lot/dait@21_1652/xm1,45.6642983648864,10.2028777245573 45.6642983648864,10.2028777245573
https://w3id.org/italia/env/ld/ihi/lot/dpc@19_1225/xm1,39.0125897788765,16.8592146438072 39.0125897788765,16.8592146438072
https://w3id.org/italia/env/ld/ihi/lot/dpc@22_5705/xm1,40.2399262454167,14.9875437280221 40.2399262454167,14.9875437280221
https://w3id.org/italia/env/ld/ihi/lot/dait@22_0519/xm1,37.6941330442233,14.857067253751 37.6941330442233,14.857067253751
https://w3id.org/italia/env/ld/ihi/lot/dait@23_0983/xm1,46.3616966974774,12.3721395263207 46.3616966974774,12.3721395263207
https://w3id.org/italia/env/ld/ihi/lot/055/981,40.7001725492217,13.8768605909516 40.7001725492217,13.8768605909516
https://w3id.org/italia/env/ld/ihi/lot/dait@21_1187/xm1,41.355487590218,13.5209191600354 41.355487590218,13.5209191600354
https://w3id.org/italia/env/ld/ihi/lot/dait@21_1943/xm1,41.9173057185883,14.7553328172051 41.9173057185883,14.7553328172051
https://w3id.org/italia/env/ld/ihi/lot/dpc@19_4599/xm1,45.881453354285,11.4440556572391 45.881453354285,11.4440556572391
https://w3id.org/italia/env/ld/ihi/lot/dpc@19_5052/xm1,45.6954761636747,11.2105951888882 45.6954761636747,11.2105951888882
https://w3id.org/italia/env/ld/ihi/lot/dait@21_6345/xm1,39.0068763208142,8.92330447175207 39.0068763208142,8.92330447175207
https://w3id.org/italia/env/ld/ihi/lot/dait@21_1959/xm1,41.8511031188105,14.2295319938379 41.8511031188105,14.2295319938379
https://w3id.org/italia/env/ld/ihi/lot/dait@21_4771/xm1,44.7870996405586,12.2207371389831 44.7870996405586,12.2207371389831
https://w3id.org/italia/env/ld/ihi/lot/122/994,46.3993173328877,12.3554678427406 46.3993173328877,12.3554678427406
https://w3id.org/italia/env/ld/ihi/lot/dait@21_4598/xm1,45.3613785337146,11.1223775542146 45.3613785337146,11.1223775542146
https://w3id.org/italia/env/ld/ihi/lot/dait@21_5638/xm1,42.1503130886172,12.2537617317758 42.1503130886172,12.2537617317758
https://w3id.org/italia/env/ld/ihi/lot/484/092,39.6963849002502,16.1213413595254 39.6963849002502,16.1213413595254
https://w3id.org/italia/env/ld/ihi/lot/dpc@19_0481/xm1,41.9185677491674,14.6283686764032 41.9185677491674,14.6283686764032
https://w3id.org/italia/env/ld/ihi/lot/dait@21_7312/xm1,45.7623002936649,8.61903104486341 45.7623002936649,8.61903104486341
https://w3id.org/italia/env/ld/ihi/lot/dpc@19_4968/xm1,46.4971834423829,11.9276757877633 46.4971834423829,11.9276757877633
https://w3id.org/italia/env/ld/ihi/lot/dait@21_6923/xm1,41.0292604833459,14.9208024086774 41.0292604833459,14.9208024086774
https://w3id.org/italia/env/ld/ihi/lot/dait@21_1027/xm1,40.8050241931532,14.6898617051701 40.8050241931532,14.6898617051701
https://w3id.org/italia/env/ld/ihi/lot/dait@21_2609/xm1,36.7387666198362,14.8587454371117 36.7387666198362,14.8587454371117
https://w3id.org/italia/env/ld/ihi/lot/18ir959/g11,38.0474901443313,15.8910032228905 38.0474901443313,15.8910032228905
https://w3id.org/italia/env/ld/ihi/lot/dait@23_0271/xm1,43.5572631432009,11.5241121894922 43.5572631432009,11.5241121894922
https://w3id.org/italia/env/ld/ihi/lot/198/021,43.9395985327083,11.0572066926691 43.9395985327083,11.0572066926691
