Subject,hasStep
https://w3id.org/italia/env/ld/ihi/lotstep/dpc@19_1128/xm1-172,https://w3id.org/italia/env/ld/skos/ihi/steptype/172
https://w3id.org/italia/env/ld/ihi/lotstep/421/021-190,https://w3id.org/italia/env/ld/skos/ihi/steptype/190
https://w3id.org/italia/env/ld/ihi/lotstep/fg036a/101-150,https://w3id.org/italia/env/ld/skos/ihi/steptype/150
https://w3id.org/italia/env/ld/ihi/lotstep/dait@22_0978/xm1-82,https://w3id.org/italia/env/ld/skos/ihi/steptype/82
https://w3id.org/italia/env/ld/ihi/lotstep/188/021-170,https://w3id.org/italia/env/ld/skos/ihi/steptype/170
https://w3id.org/italia/env/ld/ihi/lotstep/dait@19_0427/xm1-172,https://w3id.org/italia/env/ld/skos/ihi/steptype/172
https://w3id.org/italia/env/ld/ihi/lotstep/dait@21_4492/xm1-125,https://w3id.org/italia/env/ld/skos/ihi/steptype/125
https://w3id.org/italia/env/ld/ihi/lotstep/mo002b/107-170,https://w3id.org/italia/env/ld/skos/ihi/steptype/170
https://w3id.org/italia/env/ld/ihi/lotstep/dait@19_0325/xm1-152,https://w3id.org/italia/env/ld/skos/ihi/steptype/152
https://w3id.org/italia/env/ld/ihi/lotstep/dpc@19_0994/xm1-227,https://w3id.org/italia/env/ld/skos/ihi/steptype/227
https://w3id.org/italia/env/ld/ihi/lotstep/dpc@19_3955/xm1-227,https://w3id.org/italia/env/ld/skos/ihi/steptype/227
https://w3id.org/italia/env/ld/ihi/lotstep/va157a/101-110,https://w3id.org/italia/env/ld/skos/ihi/steptype/110
https://w3id.org/italia/env/ld/ihi/lotstep/dait@21_5272/xm1-152,https://w3id.org/italia/env/ld/skos/ihi/steptype/152
https://w3id.org/italia/env/ld/ihi/lotstep/013/021-210,https://w3id.org/italia/env/ld/skos/ihi/steptype/210
https://w3id.org/italia/env/ld/ihi/lotstep/dpc@19_2305/xm1-215,https://w3id.org/italia/env/ld/skos/ihi/steptype/215
https://w3id.org/italia/env/ld/ihi/lotstep/dait@21_6553/xm1-152,https://w3id.org/italia/env/ld/skos/ihi/steptype/152
https://w3id.org/italia/env/ld/ihi/lotstep/dpc@19_0062/xm1-215,https://w3id.org/italia/env/ld/skos/ihi/steptype/215
