Subject,hasStep,Date
https://w3id.org/italia/env/ld/ihi/lotstep/va151a/101-120,,2013-02-22
https://w3id.org/italia/env/ld/ihi/lotstep/dait@21_3190/xm1-152,,2022-09-02
https://w3id.org/italia/env/ld/ihi/lotstep/dait@21_5036/xm1-184,,2022-09-19
https://w3id.org/italia/env/ld/ihi/agreement/dait@23_0153/xm,,2023-05-19
https://w3id.org/italia/env/ld/ihi/agreement/cs167b/10,,2010-11-25
https://w3id.org/italia/env/ld/ihi/lotstep/219/081-180,,2010-11-17
https://w3id.org/italia/env/ld/ihi/lotstep/dpc@19_0280/xm1-152,,2017-04-04
https://w3id.org/italia/env/ld/ihi/agreement/dait@21_6693/xm,,2021-05-03
https://w3id.org/italia/env/ld/ihi/agreement/308/02,,2002-12-23
https://w3id.org/italia/env/ld/ihi/lotstep/02ir003/ci1-217,,2023-07-07
https://w3id.org/italia/env/ld/ihi/lotstep/116/081-150,,2010-01-25
https://w3id.org/italia/env/ld/ihi/lotstep/dait@21_5451/xm1-223,,2022-01-18
https://w3id.org/italia/env/ld/ihi/lotstep/479/091-190,,2016-04-04
https://w3id.org/italia/env/ld/ihi/lotstep/437/991-180,,2001-06-11
https://w3id.org/italia/env/ld/ihi/lotstep/so172c/102-180,,2014-02-04
https://w3id.org/italia/env/ld/ihi/lotstep/18ir959/g11-183,,2020-08-27
https://w3id.org/italia/env/ld/ihi/lotstep/146/091-70,,2009-03-30
https://w3id.org/italia/env/ld/ihi/lotstep/dait@21_4021/xm1-172,,2019-10-31
https://w3id.org/italia/env/ld/ihi/lotstep/mt053a/101-170,,2012-06-29
https://w3id.org/italia/env/ld/ihi/lotstep/226/081-80,,2008-01-02
https://w3id.org/italia/env/ld/ihi/lotstep/150/021-225,,2005-10-20
https://w3id.org/italia/env/ld/ihi/lotstep/258/091-130,,2008-12-04
https://w3id.org/italia/env/ld/ihi/lotstep/dait@21_0872/xm1-125,,2020-09-08
https://w3id.org/italia/env/ld/ihi/lotstep/dpc@19_2815/xm1-223,,2019-03-25
https://w3id.org/italia/env/ld/ihi/agreement/185/09,,2008-11-10
https://w3id.org/italia/env/ld/ihi/lotstep/dait@21_2971/xm1-102,,2020-09-11
https://w3id.org/italia/env/ld/ihi/agreement/19irc73/g1,,2019-05-03
https://w3id.org/italia/env/ld/ihi/lotstep/lu066a/101-990,,2011-08-03
https://w3id.org/italia/env/ld/ihi/lotstep/dait@22_0310/xm1-132,,2023-01-01
https://w3id.org/italia/env/ld/ihi/lotstep/357/061-220,,2009-08-03
https://w3id.org/italia/env/ld/ihi/lotstep/dpc@19_3250/xm1-152,,2020-07-24
https://w3id.org/italia/env/ld/ihi/lotstep/18ir081/g11-152,,2022-06-18
https://w3id.org/italia/env/ld/ihi/agreement/dpc@19_4023/xm,,2019-02-20
https://w3id.org/italia/env/ld/ihi/agreement/18ir468/g1,,2020-10-30
https://w3id.org/italia/env/ld/ihi/agreement/dait@21_0536/xm,,2021-02-23
https://w3id.org/italia/env/ld/ihi/lotstep/dait@21_4295/xm1-217,,2023-03-06
https://w3id.org/italia/env/ld/ihi/lotstep/16ir445/g11-152,,2020-11-26
https://w3id.org/italia/env/ld/ihi/agreement/591/99,,1999-12-21
https://w3id.org/italia/env/ld/ihi/lotstep/063/981-190,,2001-03-30
