Subject,type
https://w3id.org/italia/env/ld/ihi/lot/dait@21_4777/xm1,Contract
https://w3id.org/italia/env/ld/ihi/lot/dait@21_3018/xm1,Contract
https://w3id.org/italia/env/ld/ihi/lot/dpc@21_6250/xm1,Contract
https://w3id.org/italia/env/ld/ihi/lot/cn125a/101,Contract
https://w3id.org/italia/env/ld/ihi/lot/304/991,Contract
https://w3id.org/italia/env/ld/ihi/lot/dait@23_0052/xm1,Contract
https://w3id.org/italia/env/ld/ihi/lot/dait@21_6786/xm1,Contract
https://w3id.org/italia/env/ld/ihi/lot/dait@23_1312/xm1,Contract
https://w3id.org/italia/env/ld/ihi/lot/dait@21_6737/xm1,Contract
https://w3id.org/italia/env/ld/ihi/lot/dait@21_2314/xm1,Contract
https://w3id.org/italia/env/ld/ihi/lot/dpc@19_2919/xm1,Contract
https://w3id.org/italia/env/ld/ihi/lot/dait@21_5349/xm1,Contract
https://w3id.org/italia/env/ld/ihi/lot/dpc@19_3502/xm1,Contract
https://w3id.org/italia/env/ld/ihi/lot/dait@23_1309/xm1,Contract
https://w3id.org/italia/env/ld/ihi/lot/dpc@19_4498/xm1,Contract
https://w3id.org/italia/env/ld/ihi/lot/at061a/101,Contract
https://w3id.org/italia/env/ld/ihi/lot/dpc@19_0985/xm1,Contract
https://w3id.org/italia/env/ld/ihi/lot/159/081,Contract
https://w3id.org/italia/env/ld/ihi/lot/01ira44/g19,Contract
https://w3id.org/italia/env/ld/ihi/lot/me066a/102,Contract
https://w3id.org/italia/env/ld/ihi/lot/032/981,Contract
https://w3id.org/italia/env/ld/ihi/lot/dait@21_0383/xm1,Contract
https://w3id.org/italia/env/ld/ihi/lot/dpc@19_0979/xm1,Contract
