Subject,type
https://w3id.org/italia/env/ld/ihi/repair/587/991sf-23,Repair
https://w3id.org/italia/env/ld/ihi/repair/11ir069/g11si-2,Repair
https://w3id.org/italia/env/ld/ihi/repair/086/091sf-11,Repair
https://w3id.org/italia/env/ld/ihi/repair/500/061si-33,Repair
https://w3id.org/italia/env/ld/ihi/repair/06ir187/g11si-4,Repair
https://w3id.org/italia/env/ld/ihi/repair/19ir980/g11si-33,Repair
https://w3id.org/italia/env/ld/ihi/repair/12ir006/g91sf-53,Repair
https://w3id.org/italia/env/ld/ihi/repair/183/021sf-33,Repair
https://w3id.org/italia/env/ld/ihi/repair/227/091sf-26,Repair
https://w3id.org/italia/env/ld/ihi/repair/276/991si-24,Repair
https://w3id.org/italia/env/ld/ihi/repair/09ir002/g43si-2,Repair
https://w3id.org/italia/env/ld/ihi/repair/402/021si-15,Repair
https://w3id.org/italia/env/ld/ihi/repair/fm021a/101si-42,Repair
https://w3id.org/italia/env/ld/ihi/repair/145/071sf-23,Repair
https://w3id.org/italia/env/ld/ihi/repair/139/061sv-2,Repair
