Subject,role
https://w3id.org/italia/env/ld/ihi/authkind/attuat/dpc@19_2723/xm1,ente attuatore
https://w3id.org/italia/env/ld/ihi/authkind/attuat/bi078a/101,ente attuatore
https://w3id.org/italia/env/ld/ihi/authkind/prop/235/07,ente proponente
https://w3id.org/italia/env/ld/ihi/authkind/autbac/dait@21_5063/xm,autorità di bacino
https://w3id.org/italia/env/ld/ihi/authkind/attuat/dait@21_2876/xm1,ente attuatore
https://w3id.org/italia/env/ld/ihi/authkind/attuat/dait@23_0140/xm1,ente attuatore
https://w3id.org/italia/env/ld/ihi/authkind/attuat/dpc@21_6263/xm1,ente attuatore
https://w3id.org/italia/env/ld/ihi/authkind/prop/20ir001/ci,ente proponente
https://w3id.org/italia/env/ld/ihi/authkind/attuat/dait@21_0200/xm1,ente attuatore
https://w3id.org/italia/env/ld/ihi/authkind/prop/pg003a/10,ente proponente
