Subject,type
https://w3id.org/italia/env/ld/ihi/agreement/dpc@22_5920/xm,FrameworkAgreement
https://w3id.org/italia/env/ld/ihi/agreement/dait@21_3525/xm,FrameworkAgreement
https://w3id.org/italia/env/ld/ihi/agreement/dait@21_3009/xm,FrameworkAgreement
https://w3id.org/italia/env/ld/ihi/agreement/11ir068/g1,FrameworkAgreement
https://w3id.org/italia/env/ld/ihi/agreement/dait@21_3313/xm,FrameworkAgreement
https://w3id.org/italia/env/ld/ihi/agreement/dpc@19_3227/xm,FrameworkAgreement
https://w3id.org/italia/env/ld/ihi/agreement/bs021a/10,FrameworkAgreement
https://w3id.org/italia/env/ld/ihi/agreement/dait@21_4975/xm,FrameworkAgreement
https://w3id.org/italia/env/ld/ihi/agreement/dait@21_3684/xm,FrameworkAgreement
https://w3id.org/italia/env/ld/ihi/agreement/dpc@19_1832/xm,FrameworkAgreement
https://w3id.org/italia/env/ld/ihi/agreement/19ire51/g1,FrameworkAgreement
https://w3id.org/italia/env/ld/ihi/agreement/dait@23_0962/xm,FrameworkAgreement
https://w3id.org/italia/env/ld/ihi/agreement/dpc@19_0048/xm,FrameworkAgreement
https://w3id.org/italia/env/ld/ihi/agreement/dait@21_5341/xm,FrameworkAgreement
https://w3id.org/italia/env/ld/ihi/agreement/dpc@21_6769/xm,FrameworkAgreement
https://w3id.org/italia/env/ld/ihi/agreement/dait@21_5986/xm,FrameworkAgreement
https://w3id.org/italia/env/ld/ihi/agreement/maaf@20_0089/xm,FrameworkAgreement
https://w3id.org/italia/env/ld/ihi/agreement/dpc@19_4046/xm,FrameworkAgreement
https://w3id.org/italia/env/ld/ihi/agreement/dait@21_4107/xm,FrameworkAgreement
https://w3id.org/italia/env/ld/ihi/agreement/dait@21_5150/xm,FrameworkAgreement
https://w3id.org/italia/env/ld/ihi/agreement/pv115a/10,FrameworkAgreement
https://w3id.org/italia/env/ld/ihi/agreement/na025c/10,FrameworkAgreement
https://w3id.org/italia/env/ld/ihi/agreement/138/07,FrameworkAgreement
https://w3id.org/italia/env/ld/ihi/agreement/dpc@19_0203/xm,FrameworkAgreement
https://w3id.org/italia/env/ld/ihi/agreement/dait@21_7307/xm,FrameworkAgreement
https://w3id.org/italia/env/ld/ihi/agreement/09ir029/ci,FrameworkAgreement
https://w3id.org/italia/env/ld/ihi/agreement/dait@21_2091/xm,FrameworkAgreement
https://w3id.org/italia/env/ld/ihi/agreement/075/98,FrameworkAgreement
https://w3id.org/italia/env/ld/ihi/agreement/dait@21_4508/xm,FrameworkAgreement
https://w3id.org/italia/env/ld/ihi/agreement/dpc@21_6470/xm,FrameworkAgreement
https://w3id.org/italia/env/ld/ihi/agreement/dait@21_7308/xm,FrameworkAgreement
https://w3id.org/italia/env/ld/ihi/agreement/dait@22_0033/xm,FrameworkAgreement
https://w3id.org/italia/env/ld/ihi/agreement/270/02,FrameworkAgreement
https://w3id.org/italia/env/ld/ihi/agreement/dait@21_1704/xm,FrameworkAgreement
https://w3id.org/italia/env/ld/ihi/agreement/dait@21_7212/xm,FrameworkAgreement
https://w3id.org/italia/env/ld/ihi/agreement/143/06,FrameworkAgreement
https://w3id.org/italia/env/ld/ihi/agreement/dait@21_5583/xm,FrameworkAgreement
